Gene	annotation	synonym
b0548	DLP12 prophage%3B NinE family prophage protein	ninE
b0549	DLP12 prophage%3B putative nuclease YbcO	ybcO
b0550	DLP12 prophage%3B crossover junction endodeoxyribonuclease RusA	rusA
b4509	DLP12 prophage%3B uncharacterized protein YlcG	ylcG
b0551	DLP12 prophage%3B putative antitermination protein	ybcQ
b0553	DLP12 prophage%3B putative outer membrane porin NmpC	nmpC
b0552	DLP12 prophage%3B IS5 transposase and trans-activator	insH-2
b0554	DLP12 prophage%3B putative phage lysis protein	essD
b0555	DLP12 prophage%3B lysozyme	rrrD
b0556	DLP12 prophage%3B putative prophage endopeptidase RzpD	rzpD
b4510	DLP12 prophage%3B putative prophage lysis lipoprotein RzoD	rzoD
b0557	DLP12 prophage%3B prophage lipoprotein BorD	borD
b0558	DLP12 prophage%3B protein YbcV	ybcV
b0559	DLP12 prophage%3B protein YbcW	ybcW
b4589	DLP12 prophage%3B DUF3950 domain-containing protein YlcI	ylcI
b0560	DLP12 prophage%3B putative DNA-packaging protein NohD	nohD
b4634	DLP12 prophage%3B protein AaaD	aaaD
b0561	DLP12 prophage%3B putative tail fiber assembly protein TfaD	tfaD
b0562	DLP12 prophage%3B putative SAM-dependent methyltransferase YbcY	ybcY
b0563	DLP12 prophage%3B protein TfaX	tfaX
b0564	DNA-binding transcriptional activator AppY	appY
b0565	outer membrane protease VII (outer membrane protein 3b)	ompT
b0566	DNA-binding transcriptional activator EnvY	envY
b0567	DUF4434 domain-containing protein YbcH	ybcH
b0568	bacteriophage N4 receptor%2C outer membrane protein	nfrA
b0569	bacteriophage N4 receptor%2C inner membrane subunit	nfrB
b0570	sensory histidine kinase CusS	cusS
b0571	DNA-binding transcriptional activator CusR	cusR
b0572	copper/silver export system outer membrane channel	cusC
b0573	copper/silver export system periplasmic binding protein	cusF
b0574	copper/silver export system membrane fusion protein	cusB
b0575	copper/silver export system RND permease	cusA
b0576	phenylalanine:H(+) symporter PheP	pheP
b0577	miniconductance mechanosensitive channel YbdG	ybdG
b0578	NAD(P)H nitroreductase NfsB	nfsB
b0579	PF04237 family protein YbdF	ybdF
b0580	DUF1158 domain-containing protein YbdJ	ybdJ
b0581	carboxylate-amine ligase	ybdK
b4415	protein HokE	hokE
b0582	IS186/IS421 transposase	insL-2
b0583	phosphopantetheinyl transferase EntD	entD
b0584	ferric enterobactin outer membrane transporter	fepA
b0585	enterochelin esterase	fes
b4511	enterobactin biosynthesis protein YbdZ	ybdZ
b0586	apo-serine activating enzyme	entF
b0587	polysaccharide co-polymerase family protein FepE	fepE
b0588	ferric enterobactin ABC transporter ATP binding subunit	fepC
b0589	ferric enterobactin ABC transporter membrane subunit FepG	fepG
b0590	ferric enterobactin ABC transporter membrane subunit FebD	fepD
b0591	enterobactin exporter EntS	entS
b0592	ferric enterobactin ABC transporter periplasmic binding protein	fepB
b0593	isochorismate synthase EntC	entC
b0594	2%2C3-dihydroxybenzoate-AMP ligase	entE
b0595	enterobactin synthase component B	entB
b0596	2%2C3-dihydro-2%2C3-dihydroxybenzoate dehydrogenase	entA
b0597	proofreading thioesterase in enterobactin biosynthesis	entH
b0598	carbon starvation protein A	cstA
b4512	conserved protein YbdD	ybdD
b0599	hydroxycarboxylate dehydrogenase A	hcxA
b0600	methionine-oxo-acid transaminase%2C PLP-dependent	ybdL
b0601	ParB-like nuclease domain-containing protein YbdM	ybdM
b0602	putative PAPS reductase/DUF3440 domain-containing protein YbdN	ybdN
b0603	putative LysR family DNA-binding transcriptional regulator YbdO	ybdO
b0604	protein sulfenic acid reductase DsbG	dsbG
b0605	alkyl hydroperoxide reductase%2C AhpC component	ahpC
b0606	alkyl hydroperoxide reductase%2C AhpF component	ahpF
b0607	universal stress protein G	uspG
b0608	putative Zn(2(+))-dependent alcohol dehydrogenase YbdR	ybdR
b4734	protein YldA	yldA
b0610	nucleoside diphosphate kinase regulator	rnk
b0611	RNase I	rna
b0612	citrate:succinate antiporter	citT
b0613	triphosphoribosyl-dephospho-CoA synthase	citG
b0614	apo-citrate lyase phosphoribosyl-dephospho-CoA transferase	citX
b0615	citrate lyase alpha subunit	citF
b0616	citrate lyase beta subunit	citE
b0617	citrate lyase acyl carrier protein	citD
b0618	citrate lyase synthetase	citC
b0619	sensory histidine kinase DpiB	dpiB
b0620	DNA-binding transcriptional dual regulator DpiA	dpiA
b0621	anaerobic C4-dicarboxylate transporter DcuC	dcuC
b0622	Lipid IVA palmitoyltransferase	pagP
b0623	transcription antiterminator and regulator of RNA stability	cspE
b0624	F(-) channel	crcB
b4581	deamidated glutathione amidase%2C N-terminal fragment	ybeM
b0627	twin arginine protein translocation system - TatE protein	tatE
b0628	lipoyl synthase	lipA
b0629	putative LysR-type DNA-binding transcriptional regulator YbeF	ybeF
b0630	lipoyl(octanoyl) transferase	lipB
b0631	DUF493 domain-containing protein YbeD	ybeD
b0632	D-alanyl-D-alanine carboxypeptidase DacA	dacA
b0633	rare lipoprotein RlpA	rlpA
b0634	SEDS family protein MrdB	mrdB
b0635	peptidoglycan DD-transpeptidase MrdA	mrdA
b0636	23S rRNA m(3)psi1915 methyltransferase	rlmH
b0637	ribosomal silencing factor RsfS	rsfS
b0638	putative adenosylcobalamin phosphatase/alpha-ribazole phosphatase	cobC
b0639	nicotinate-mononucleotide adenylyltransferase	nadD
b0640	DNA polymerase III subunit delta	holA
b0641	lipopolysaccharide assembly protein LptE	lptE
b0642	leucine--tRNA ligase	leuS
b0643	DUF1451 domain-containing protein YbeL	ybeL
b0644	Sel1 repeat-containing protein YbeQ	ybeQ
b0645	DUF1266 domain-containing protein YbeR	ybeR
b0646	putative chaperone	djlB
b0647	Sel1 repeat-containing protein YbeT	ybeT
b0648	DUF1266 domain-containing protein YbeU	ybeU
b0649	co-chaperone DjlC	djlC
b0650	chaperone protein HscC	hscC
b0651	pyrimidine-specific ribonucleoside hydrolase RihA	rihA
b0652	glutamate/aspartate ABC transporter ATP binding subunit	gltL
b0653	glutamate/aspartate ABC transporter membrane subunit GltK	gltK
b0654	glutamate/aspartate ABC transporter membrane subunit GltJ	gltJ
b0655	glutamate/aspartate ABC transporter periplasmic binding protein	gltI
b0656	IS5 transposase and trans-activator	insH-3
b0657	apolipoprotein N-acyltransferase	lnt
b0658	CorC-HlyC family protein YbeX	ybeX
b0659	endoribonuclease YbeY	ybeY
b0660	PhoH-like protein	ybeZ
b0661	isopentenyl-adenosine A37 tRNA methylthiolase	miaB
b0662	2-octaprenyl-3-methyl-6-methoxy-1%2C4-benzoquinol hydroxylase	ubiF
b0674	asparagine synthetase B	asnB
b0675	UMP phosphatase	umpH
b0676	DNA-binding transcriptional dual regulator NagC	nagC
b0677	N-acetylglucosamine-6-phosphate deacetylase	nagA
b0678	glucosamine-6-phosphate deaminase	nagB
b0679	N-acetylglucosamine specific PTS enzyme IIABC component	nagE
b0680	glutamine--tRNA ligase	glnS
b0681	chitobiose outer membrane channel	chiP
b0682	lipoprotein ChiQ	chiQ
b0683	DNA-binding transcriptional dual regulator Fur	fur
b4637	RyhB-regulated fur leader peptide	uof
b0684	flavodoxin 1	fldA
b0685	LexA-regulated protein	ybfE
b0686	esterase	ybfF
b0687	SeqA%2C negative modulator of initiation of replication	seqA
b0688	phosphoglucomutase	pgm
b0689	lipoprotein YbfP	ybfP
b0691	PF10964 domain-containing protein YbfG	ybfG
b0692	putrescine:H(+) symporter/putrescine:ornithine antiporter PotE	potE
b0693	ornithine decarboxylase%2C degradative	speF
b4590	uncharacterized protein YbfK	ybfK
b0694	DNA-binding transcriptional activator KdpE	kdpE
b0695	sensory histidine kinase KdpD	kdpD
b0696	K(+) transporting P-type ATPase subunit KdpC	kdpC
b0697	K(+) transporting P-type ATPase subunit KdpB	kdpB
b0698	K(+) transporting P-type ATPase subunit KdpA	kdpA
b4513	K(+) transporting P-type ATPase subunit KdpF	kdpF
b0699	DUF2517 domain-containing protein YbfA	ybfA
b0700	rhs element protein RhsC	rhsC
b0702	uncharacterized protein YbfB	ybfB
b0703	conserved protein%2C rhs-like YbfO	ybfO
b0704	uncharacterized protein YbfC	ybfC
b4514	inactive transposase YbfQ	ybfQ
b0705	putative transposase YbfL	ybfL
b0706	H repeat-associated putative transposase YbfD	ybfD
b0707	DUF1722 domain-containing protein YbgA	ybgA
b0708	deoxyribodipyrimidine photolyase (photoreactivation)	phr
b0709	dipeptide:H(+) symporter DtpD	dtpD
b0710	radiation resistance protein YbgI	ybgI
b0711	5-oxoprolinase component B	pxpB
b0712	5-oxoprolinase component C	pxpC
b0713	5-oxoprolinase component A	pxpA
b0714	endonuclease VIII	nei
b0715	putative regulator	abrB
b0716	putative fimbrial protein YbgO	ybgO
b0717	putative fimbrial chaperone YbgP	ybgP
b0718	putative fimbrial usher protein YbgQ	ybgQ
b0719	putative fimbrial protein YbgD	ybgD
b0720	citrate synthase	gltA
b4735	protein YbgU	ybgU
b0721	succinate:quinone oxidoreductase%2C membrane protein SdhC	sdhC
b0722	succinate:quinone oxidoreductase%2C membrane protein SdhD	sdhD
b0723	succinate:quinone oxidoreductase%2C FAD binding protein	sdhA
b0724	succinate:quinone oxidoreductase%2C iron-sulfur cluster binding protein	sdhB
b0726	subunit of E1(0) component of 2-oxoglutarate dehydrogenase	sucA
b0727	dihydrolipoyltranssuccinylase	sucB
b0728	succinyl-CoA synthetase subunit beta	sucC
b0729	succinyl-CoA synthetase subunit alpha	sucD
b0730	DNA-binding transcriptional repressor MngR	mngR
b0731	2-O-alpha-mannosyl-D-glycerate specific PTS enzyme II	mngA
b0732	alpha-mannosidase	mngB
b0733	cytochrome bd-I ubiquinol oxidase subunit I	cydA
b0734	cytochrome bd-I ubiquinol oxidase subunit II	cydB
b4515	cytochrome bd-I ubiquinol oxidase subunit CydX	cydX
b0735	cyd operon protein YbgE	ybgE
b0736	esterase/thioesterase	ybgC
b0737	Tol-Pal system protein TolQ	tolQ
b0738	Tol-Pal system protein TolR	tolR
b0739	Tol-Pal system protein TolA	tolA
b0740	Tol-Pal system periplasmic protein TolB	tolB
b0741	peptidoglycan-associated outer membrane lipoprotein Pal	pal
b0742	cell division coordinator CpoB	cpoB
b0750	quinolinate synthase	nadA
b0751	nicotinamide riboside transporter	pnuC
b0752	Zn(2(+))/Cd(2(+))/Ni(2(+))/Cu(2(+)) exporter	zitB
b0753	PF13985 family protein YbgS	ybgS
b0754	3-deoxy-7-phosphoheptulonate synthase%2C Phe-sensitive	aroG
b0755	2%2C3-bisphosphoglycerate-dependent phosphoglycerate mutase	gpmA
b0756	galactose-1-epimerase	galM
b0757	galactokinase	galK
b0758	galactose-1-phosphate uridylyltransferase	galT
b0759	UDP-glucose 4-epimerase	galE
b0760	ABC family protein ModF	modF
b0761	DNA-binding transcriptional dual regulator ModE	modE
b0762	multidrug efflux pump accessory protein AcrZ	acrZ
b0763	molybdate ABC transporter periplasmic binding protein	modA
b0764	molybdate ABC transporter membrane subunit	modB
b0765	molybdate ABC transporter ATP binding subunit	modC
b0766	pyridoxal phosphate/fructose-1%2C6-bisphosphate phosphatase	ybhA
b0767	6-phosphogluconolactonase	pgl
b0768	putative DNA-binding transcriptional regulator YbhD	ybhD
b0769	putative isomerase YbhH	ybhH
b0770	putative tricarboxylate transporter	ybhI
b0771	putative hydratase YbhJ	ybhJ
b0772	outer membrane lipoprotein YhbC	ybhC
b0773	putative kinase inhibitor	ybhB
b0774	adenosylmethionine-8-amino-7-oxononanoate aminotransferase	bioA
b0775	biotin synthase	bioB
b0776	8-amino-7-oxononanoate synthase	bioF
b0777	malonyl-acyl carrier protein methyltransferase	bioC
b0778	dethiobiotin synthetase	bioD
b0779	excision nuclease subunit B	uvrB
b0780	putative transferase YbhK	ybhK
b0781	GTP 3'%2C8'-cyclase	moaA
b0782	MoaB protein	moaB
b0783	cyclic pyranopterin monophosphate synthase	moaC
b0784	molybdopterin synthase sulfur carrier subunit	moaD
b0785	molybdopterin synthase catalytic subunit	moaE
b0786	Bax1-I family protein YbhL	ybhL
b0787	Bax1-I family protein YbhM	ybhM
b0788	conserved inner membrane protein YbhN	ybhN
b0789	cardiolipin synthase B	clsB
b0790	endonuclease/exonuclease/phosphatase domain-containing protein YbhP	ybhP
b0791	putative inner membrane protein	ybhQ
b0792	putative ABC exporter membrane subunit YbhR	ybhR
b0793	putative ABC exporter membrane subunit YbhS	ybhS
b0794	putative ABC exporter ATP binding subunit	ybhF
b0795	HlyD_D23 family protein YbhG	ybhG
b0796	DNA-binding transcriptional dual regulator CecR	cecR
b0797	ATP-dependent RNA helicase RhlE	rhlE
b0798	N-glycosidase YbiA	ybiA
b0799	ATP-dependent DNA helicase DinG	dinG
b0800	nonspecific DNA-binding protein YbiB	ybiB
b0801	hydroxycarboxylate dehydrogenase B	hcxB
b0802	DUF1471 domain-containing protein YbiJ	ybiJ
b0803	zinc finger domain-containing protein YbiI	ybiI
b0804	PKHD-type hydroxylase YbiX	ybiX
b0805	putative iron siderophore outer membrane transporter	fiu
b0806	DUF1471 domain-containing protein McbA	mcbA
b0807	23S rRNA m(6)A1618 methyltransferase	rlmF
b0808	moderate conductance mechanosensitive channel	ybiO
b0809	L-glutamine ABC transporter ATP binding subunit	glnQ
b0810	L-glutamine ABC transporter membrane subunit	glnP
b0811	L-glutamine ABC transporter periplasmic binding protein	glnH
b0812	stationary phase nucleoid protein that sequesters iron and protects DNA from damage	dps
b0813	L-threonine/L-homoserine exporter	rhtA
b4736	protein YliM	yliM
b0814	outer membrane protein X	ompX
b0815	phosphoethanolamine transferase	opgE
b4705	small protein MntS	mntS
b0817	DNA-binding transcriptional dual regulator MntR	mntR
b0818	putative transporter YbiR	ybiR
b0819	L%2CD-transpeptidase YbiS	ldtB
b0820	ABC transporter ATP-binding protein YbiT	ybiT
b0821	DUF1479 domain-containing protein YbiU	ybiU
b0822	sugar phosphatase	ybiV
b0823	putative pyruvate formate lyase	ybiW
b0824	putative pyruvate formate-lyase activating enzyme YbiY	ybiY
b0825	fructose-6-phosphate aldolase 1	fsaA
b0826	molybdopterin-synthase adenylyltransferase	moeB
b0827	molybdopterin molybdotransferase	moeA
b0828	isoaspartyl dipeptidase proenzyme	iaaA
b0829	glutathione ABC transporter ATP binding subunit GsiA	gsiA
b0830	glutathione ABC transporter periplasmic binding protein	gsiB
b0831	glutathione ABC transporter membrane subunit GsiC	gsiC
b0832	glutathione ABC transporter membrane subunit GsiD	gsiD
b0833	putative c-di-GMP phosphodiesterase PdeI	pdeI
b0834	putative diguanylate cyclase DgcI	dgcI
b0835	ribosomal protein S12 methylthiotransferase RimO	rimO
b0836	regulator of biofilm formation	bssR
b0837	aldose sugar dehydrogenase YliI	yliI
b0838	glutathione S-transferase GstB	gstB
b0839	D-alanyl-D-alanine carboxypeptidase DacC	dacC
b0840	DNA-binding transcriptional repressor DeoR	deoR
b0841	undecaprenyl pyrophosphate phosphatase	ybjG
b0842	multidrug efflux pump MdfA/Na(+):H(+) antiporter/K(+):H(+) antiporter	mdfA
b0843	uncharacterized protein YbjH	ybjH
b0844	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase	ybjI
b0845	inner membrane protein YbjJ	ybjJ
b0846	DNA-binding transcriptional regulator RcdA	rcdA
b0847	putative transport protein YbjL	ybjL
b0848	putative inner membrane protein	ybjM
b0849	reduced glutaredoxin 1	grxA
b0850	DUF1418 domain-containing protein YbjC	ybjC
b0851	NADPH-dependent nitroreductase NfsA	nfsA
b0852	ribosomal protein S6 modification protein	rimK
b0853	protein YbjN	ybjN
b0854	putrescine ABC transporter periplasmic binding protein	potF
b0855	putrescine ABC transporter ATP binding subunit	potG
b0856	putrescine ABC transporter membrane subunit PotH	potH
b0857	putrescine ABC transporter membrane subunit PotI	potI
b0858	putative inner membrane protein	ybjO
b0859	23S rRNA m(5)U747 methyltransferase	rlmC
b0860	L-arginine ABC transporter periplasmic binding protein	artJ
b0861	L-arginine ABC transporter membrane subunit ArtM	artM
b0862	L-arginine ABC transporter membrane subunit ArtQ	artQ
b0863	putative ABC transporter periplasmic binding protein ArtI	artI
b0864	L-arginine ABC transporter ATP binding subunit	artP
b0865	DUF3828 domain-containing lipoprotein YbjP	ybjP
b0866	putative heavy metal binding protein YbjQ	ybjQ
b0867	N-acetylmuramoyl-L-alanine amidase D	amiD
b0868	putative NAD(P)H-binding oxidoreductase with NAD(P)-binding Rossmann-fold domain	ybjS
b0869	putative NAD(P)-dependent oxidoreductase YbjT	ybjT
b0870	low-specificity L-threonine aldolase	ltaE
b0871	pyruvate oxidase	poxB
b0872	NADH oxidoreductase	hcr
b0873	protein S-nitrosylase	hcp
b0874	L-lysine exporter	lysO
b0875	water channel AqpZ	aqpZ
b0876	DUF2813 domain-containing protein YbjD	ybjD
b0877	DUF535 domain-containing protein YbjX	ybjX
b0878	ABC-type tripartite efflux pump membrane fusion protein	macA
b0879	ABC-type tripartite efflux pump ATP binding/membrane subunit	macB
b0880	DNA replication inhibitor	cspD
b0881	specificity factor for ClpA-ClpP chaperone-protease complex	clpS
b0882	ATP-dependent Clp protease ATP-binding subunit ClpA	clpA
b0884	translation initiation factor IF-1	infA
b0885	leucyl/phenylalanyl-tRNA--protein transferase	aat
b0886	glutathione/L-cysteine ABC exporter subunit CydC	cydC
b0887	glutathione/L-cysteine ABC exporter subunit CydD	cydD
b0888	thioredoxin reductase	trxB
b0889	DNA-binding transcriptional dual regulator Lrp	lrp
b0890	cell division DNA translocase FtsK	ftsK
b0891	outer membrane lipoprotein carrier protein	lolA
b0892	recombination factor	rarA
b0893	serine--tRNA ligase	serS
b0894	dimethyl sulfoxide reductase subunit A	dmsA
b0895	dimethyl sulfoxide reductase subunit B	dmsB
b0896	dimethyl sulfoxide reductase subunit C	dmsC
b0897	putative hydrolase	ycaC
b0898	putative transporter YcaD	ycaD
b0899	putative transporter YcaM	ycaM
b0900	putative LysR-type transcriptional regulator YcaN	ycaN
b0901	putative NAD(P)H-dependent oxidoreductase YcaK	ycaK
b0902	pyruvate formate-lyase activating enzyme	pflA
b0903	pyruvate formate-lyase	pflB
b0904	formate channel FocA	focA
b0905	ribosomal protein S12 methylthiotransferase accessory factor YcaO	ycaO
b0906	DUF421 domain-containing protein YcaP	ycaP
b0907	phosphoserine/phosphohydroxythreonine aminotransferase	serC
b0908	3-phosphoshikimate 1-carboxyvinyltransferase	aroA
b0909	periplasmic protease YcaL	ycaL
b0910	cytidylate kinase	cmk
b0911	30S ribosomal subunit protein S1	rpsA
b0912	integration host factor subunit beta	ihfB
b0913	conserved inner membrane protein YcaI	ycaI
b0914	ATP-binding lipopolysaccharide transport protein	msbA
b0915	tetraacyldisaccharide 4'-kinase	lpxK
b0916	winged helix DNA-binding domain-containing protein YcaQ	ycaQ
b0917	UPF0434 family protein YcaR	ycaR
b0918	3-deoxy-manno-octulosonate cytidylyltransferase	kdsB
b0919	putative phosphotransferase YcbJ	ycbJ
b0920	envelope biogenesis factor	elyC
b0921	tRNA cmo(5)U34 methyltransferase	cmoM
b0922	chromosome partitioning protein MukF	mukF
b0923	chromosome partitioning protein MukE	mukE
b0924	chromosome partitioning protein MukB	mukB
b0925	L%2CD-transpeptidase LdtD	ldtD
b0926	DUF882 domain-containing protein YcbK	ycbK
b0927	hydroxyacylglutathione hydrolase GloC	gloC
b0928	aspartate aminotransferase	aspC
b0929	outer membrane porin F	ompF
b0930	asparagine--tRNA ligase	asnS
b0931	nicotinate phosphoribosyltransferase	pncB
b0932	aminopeptidase N	pepN
b0933	aliphatic sulfonate ABC transporter ATP binding subunit	ssuB
b0934	aliphatic sulfonate ABC transporter membrane subunit	ssuC
b0935	FMNH2-dependent alkanesulfonate monooxygenase	ssuD
b0936	aliphatic sulfonate ABC transporter periplasmic binding protein	ssuA
b0937	NADPH-dependent FMN reductase	ssuE
b0938	putative laminin-binding fimbrial subunit	elfA
b0939	putative fimbrial chaperone ElfD	elfD
